slug,name,type,service_category,region,tags,phone,website,email_1,address,street,postal_code,latitude,longitude,rating,reviews,working_hours,about,photo,facebook,instagram,place_id
newlife-confinement-services-pte-ltd,NewLife Confinement Services Pte Ltd (Confinement Center/ Nanny Service),Pregnancy care center,Nanny Agency,West,wheelchair-accessible,+65 9173 8162,http://www.nlconfinementnanny.com.sg/,enquiry@nlconfinementnanny.com.sg,"123 W Coast Cres, Singapore 126779",123 W Coast Cres,126779,1.2990992,103.7647903,4.9,333,"{""Monday"": [""9am-10pm""], ""Tuesday"": [""9am-10pm""], ""Wednesday"": [""9am-10pm""], ""Thursday"": [""9am-10pm""], ""Friday"": [""9am-10pm""], ""Saturday"": [""9am-10pm""], ""Sunday"": [""9am-10pm""]}","{""Service options"": {""On-site services"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true}, ""Amenities"": {""Toilet"": true}, ""Planning"": {""Appointments recommended"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFlwbGC7UbQD9EqIU5SmAeJm2floCim1pot-UjlqWEFPRkAjxrcJFNlpnvig6K4VuVZfaSYc862wYoSAqBb1euvchVJe5BuMACxPhHjoGDDdNhLYwEaCSs5S9mcbTPY30sE3bo=w800-h500-k-no,https://www.facebook.com/NewLifeConfinement,,ChIJN2nqm5UW2jERkPG2c1vbDHc
kai-singapore,KAI Singapore,Pregnancy care center,,Central,wheelchair-accessible,+65 8877 0222,https://kaisingapore.com/,info@kaisuites.com.sg,"26 Dunearn Rd, Singapore 309423",26 Dunearn Rd,309423,1.3154152,103.8378403,4.7,108,"{""Monday"": [""8:30am-7:30pm""], ""Tuesday"": [""8:30am-7:30pm""], ""Wednesday"": [""8:30am-7:30pm""], ""Thursday"": [""8:30am-7:30pm""], ""Friday"": [""8:30am-7:30pm""], ""Saturday"": [""8:30am-7:30pm""], ""Sunday"": [""8:30am-7:30pm""]}","{""Service options"": {""On-site services"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true, ""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Amenities"": {""Toilet"": true}, ""Planning"": {""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Children"": {""Nursing room"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAH0gPHqUEw7p9BnvjQPb1FabqWT-__0LcAcPUg2By1nbPCCPXd29WCUs_go0EC2fd9R7GzMr-pFKlZnmkUlFPZLza8pCTCYL_QhePadaOoIgrd_COucxieKIp3c0i-kcWL6voae=w800-h500-k-no,https://www.facebook.com/kaisgsg/,https://www.instagram.com/rislesg,ChIJj_p0GO8Z2jERxOEVLUWxN9M
four-trimesters,Four Trimesters,Pregnancy care center,,Central,wheelchair-accessible,+65 9664 4565,http://www.fourtrimesters.com/,ginny@fourtrimesters.com,"361 Holland Rd, Singapore 278637",361 Holland Rd,278637,1.3198635,103.7811326,5.0,60,"{""Monday"": [""9am-9pm""], ""Tuesday"": [""9am-9pm""], ""Wednesday"": [""9am-9pm""], ""Thursday"": [""9am-9pm""], ""Friday"": [""9am-9pm""], ""Saturday"": [""9am-9pm""], ""Sunday"": [""9am-9pm""]}","{""Accessibility"": {""Wheelchair-accessible car park"": true}, ""Amenities"": {""Toilet"": true}, ""Planning"": {""Appointments recommended"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHYONe15sO7okU9cNRiAnZOVsXPvRx2yFwXRvSflnorpJh4GtBAIj-IZblnpBpEMFgTuJWed5_RZq1oto47WlVr3-LYK_pw2t-Gl9RMuO2O0PsiaUxnLIELub5NL4-BMv1hKMYfaA=w800-h500-k-no,https://www.facebook.com/fourtrimesters/,https://www.instagram.com/fourtrimestersbirthsanctuary,ChIJLXQD1Woa2jER3ArPDH67K8I
mother-child,Mother & Child,Pregnancy care center,,Central,,+65 6836 0063,https://www.motherandchild.com.sg/,info@motherandchild.com.sg,"163 Tanglin Road, Tanglin Mall, #03 - 109, 247933","163 Tanglin Road, Tanglin Mall, #03 - 109",247933,1.305035,103.823845,4.8,152,"{""Monday"": [""9am-5:30pm""], ""Tuesday"": [""9am-5:30pm""], ""Wednesday"": [""9am-5:30pm""], ""Thursday"": [""9am-5:30pm""], ""Friday"": [""Closed""], ""Saturday"": [""9am-5pm""], ""Sunday"": [""Closed""]}","{""Service options"": {""On-site services"": true}, ""Amenities"": {""Toilet"": true}, ""Planning"": {""Appointments recommended"": true}, ""Payments"": {""Debit cards"": true, ""NFC mobile payments"": true, ""Credit cards"": true}, ""Children"": {""Nursing room"": true}, ""Parking"": {""Paid multi-storey car park"": true, ""Paid parking lot"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGFD6PgDPt8It63ibWVhFA_wF7V5-SYh1iY6g6DFxInSxQoYoCVt5fIEJ8p-2xcvKCje2IEoXjYkpBm8ivl-2sC6f104qPvOdGdjVMYvdTC-v53kTiA0fQ68ONhbtVveOcPLoN3=w800-h500-k-no,https://www.facebook.com/motherandchildsingapore,https://www.instagram.com/motherandchildsingapore,ChIJVaxrUIoZ2jERYTUPS0Cm250
star-confinement-best-nanny-agency-singapore,STAR Confinement - Best Nanny Agency Singapore,Pregnancy care center,Nanny Agency,East,,+65 9889 7985,https://starconfinementnanny.com.sg/,starconfinement@gmail.com,"57 Ubi Ave 1, #03-03 Ubi Centre, Singapore 408936","57 Ubi Ave 1, #03-03 Ubi Centre",408936,1.3248583,103.895088,4.9,1425,"{""Monday"": [""9am-9pm""], ""Tuesday"": [""9am-9pm""], ""Wednesday"": [""9am-9pm""], ""Thursday"": [""9am-9pm""], ""Friday"": [""9am-9pm""], ""Saturday"": [""9am-9pm""], ""Sunday"": [""9am-9pm""]}","{""Amenities"": {""Toilet"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Debit cards"": true, ""Credit cards"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFVYkdY39Cwd1Adu28LHX-aBKpIT1pfTWxomu2QLr8Nvxkc-FV3wTo4lHwCGvr0ygfIa8zzzpbp1rE-iv6NwmHLJRL6ojkHepezuvswCitocZmrd7OVdPTlDf3idhebLxNAuB0w4jwHzbIH=w800-h500-k-no,https://www.facebook.com/star.confinement/,https://www.instagram.com/starconfinementnanny,ChIJcYmHWWsZ2jERDeBp8rrMS2o
confinement-nanny-confinement-angels-pte-ltd,Confinement Nanny - Confinement Angels Pte Ltd,Child care agency,Nanny Agency,Central,wheelchair-accessible,+65 8101 6688,https://confinementangels.com.sg/,gynaemd@singnet.com.sg,"76 Playfair Rd, #01-04 LHK2 Building, Singapore 367996","76 Playfair Rd, #01-04 LHK2 Building",367996,1.3363436,103.8859079,4.8,1992,"{""Monday"": [""9am-7pm""], ""Tuesday"": [""9am-7pm""], ""Wednesday"": [""9am-7pm""], ""Thursday"": [""9am-7pm""], ""Friday"": [""9am-7pm""], ""Saturday"": [""9am-7pm""], ""Sunday"": [""Closed""]}","{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""On-site services"": true}, ""Accessibility"": {""Wheelchair-accessible seating"": true, ""Wheelchair-accessible toilet"": true}, ""Parking"": {""Paid parking lot"": true}, ""Other"": {""Identifies as women-owned"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGhy1lllJDJ-QFZSBer4dwr_GPHp244NAaNMYJs2ipnN8T4bcjQZiKP5soGVuI-pMa-aAp4eM2Y7_DbxrODnum3EQ2YeppWzwm9IFyQL1qHfM3I7yV19Wo7qP-RGxYcc98Y6qWA=w800-h500-k-no,https://www.facebook.com/ConfinementAngels,https://www.instagram.com/p,ChIJZwlzNr0P2jERl2B7-Hl2hQ0
derama-singapore,DeRAMA Singapore,Pregnancy care center,,Central,24-hour,+65 8076 0889,https://derama.sg/,info@sserenitycare.com,"9 Cuscaden Rd, #12th Floor, Singapore 249719","9 Cuscaden Rd, #12th Floor",249719,1.305764,103.827012,4.8,51,"{""Monday"": [""Open 24 hours""], ""Tuesday"": [""Open 24 hours""], ""Wednesday"": [""Open 24 hours""], ""Thursday"": [""Open 24 hours""], ""Friday"": [""Open 24 hours""], ""Saturday"": [""Open 24 hours""], ""Sunday"": [""Open 24 hours""]}","{""Amenities"": {""Toilet"": true}, ""Planning"": {""Appointments recommended"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGoPXQi6TfX9hzt8snyr3f9N0GsHkMDufuCGZ__y4b7JkAZQAsEXtK4OSf4_yQRCjIMKnsjjmtKolyEtW3esrLmcfpQZp_J7iHNClTQ1hxK0sC92-fHgoE1bpJMKhzJ1xhKoFVbFslfc0XA=w800-h500-k-no,https://www.facebook.com/people/,https://www.instagram.com/derama_singapore,ChIJKzw8Qo8Z2jER7jlQWu8262A
bmb-holistic-maternity-wellness,bmb Holistic Maternity Wellness,Pregnancy care center,Postnatal Services,Central,,+65 6235 0688,https://beautymumsbabies.com/,enquiry@beautymumsbabies.com,"290 Orchard Road #05-07A, Podium, #2 Paragon, 238859","290 Orchard Road #05-07A, Podium, #2 Paragon",238859,1.3039053,103.8355763,4.9,409,"{""Monday"": [""10am-9pm""], ""Tuesday"": [""10am-9pm""], ""Wednesday"": [""10am-9pm""], ""Thursday"": [""10am-9pm""], ""Friday"": [""10am-9pm""], ""Saturday"": [""10am-9pm""], ""Sunday"": [""10am-9pm""]}","{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""On-site services"": true}, ""Amenities"": {""Toilet"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Other"": {""Identifies as women-owned"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHNeZsYlhPozSxW4oVAIq5TNwyb_VCuP3xkv1uxRoBzhwWU26eONNbAp0p6R10kAgaiN-vcXFskFOic72cNjd_bDKiHpArk0iFICXMEeaIqCrhE1IEEB3cCcQ3d0Bia6h-EHQ8=w800-h500-k-no,https://www.facebook.com/beautymumsbabies/,https://www.instagram.com/beautymumsnbabies,ChIJSfioSpIZ2jERd5x3tCPG1Pc
addition-women-wellness,Addition Women Wellness,Pregnancy care center,Postnatal Services,Central,,+65 9776 3994,https://addition.sg/,enquiries@addition.sg,"435 Orchard Rd, #17-05 Office Tower Wisma Atria, Singapore 238877","435 Orchard Rd, #17-05 Office Tower Wisma Atria",238877,1.3037148,103.8332642,4.9,313,"{""Monday"": [""10am-8pm""], ""Tuesday"": [""10am-8pm""], ""Wednesday"": [""10am-8pm""], ""Thursday"": [""10am-8pm""], ""Friday"": [""10am-8pm""], ""Saturday"": [""10am-6pm""], ""Sunday"": [""Closed""]}","{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""On-site services"": true}, ""Amenities"": {""Toilet"": true}, ""Planning"": {""Appointment required"": true, ""Appointments recommended"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Parking"": {""Paid multi-storey car park"": true}, ""Other"": {""Identifies as women-owned"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHyCmgl_LvS5AddX80RfdagyY5Q2azaDH3U4r7E-D5djiyKz6akmkzo6eCGVwaCsls8B_9bop3wOfackL-_BPc1-pmbrJnIxjyXXYoZ5nWomQ712blDuJmShuuCGeNgMO0kfn2xP37S-yfP=w800-h500-k-no,,https://www.instagram.com/addition_pre_post_partum,ChIJ41nPcmkZ2jERiqfqJWGZWNg
confinement-mama-confinement-nanny-singapore,Confinement Mama | Confinement Nanny Singapore,Pregnancy care center,Nanny Agency,East,,+65 9611 2888,http://www.confinementmama.sg/,sales@confinementmama.sg,"67 Ubi Rd 1, #06-13 Oxley Bizhub, Singapore 408730","67 Ubi Rd 1, #06-13 Oxley Bizhub",408730,1.332056,103.8908216,4.9,49,"{""Monday"": [""9am-7pm""], ""Tuesday"": [""9am-7pm""], ""Wednesday"": [""9am-7pm""], ""Thursday"": [""9am-7pm""], ""Friday"": [""9am-7pm""], ""Saturday"": [""9am-7pm""], ""Sunday"": [""9am-7pm""]}","{""Amenities"": {""Toilet"": true}}",https://lh3.googleusercontent.com/gps-cs-s/APNQkAH4_S43x6y5upk2GITt3DS6xXaNymxtJSa1WdIOeHRalB9WaoU2uABHmSmH-7n-P3Ciojqy8PQJaXpS6RC6wSlEaUwIiyxGLZzTkB2PAGclrLyWn-RFg0NgMKOCGuJMWKo8c7LK6w=w800-h500-k-no,,,ChIJ5w1gMWm2MCYRgSnXVRnV_WE
